nt n field kernel bw
64 10 4D-complex axpy_h_offset_xz 22.3620
64 10 4D-complex axpy_h_offset_xt 22.0690
64 10 4D-complex axpy_h_offset_yz 22.6308
64 10 4D-complex axpy_h_offset_yt 22.1760
64 10 4D-complex axpy_h_offset_zt 22.3152
64 10 4D-complex axpy_h_offset_xyz 22.6790
64 10 4D-complex axpy_h_offset_xyt 22.6308
64 10 4D-complex axpy_h_offset_xzt 22.7273
64 10 4D-complex axpy_h_offset_yzt 22.7273
64 10 4D-complex axpy_h_offset_xyzt 22.7920
64 10 Gauge-SU3 su3Xsu3 331.6699
64 10 Gauge-SU3 su3Xsu3_h_no_shift 355.0442
64 10 Gauge-SU3 su3Xsu3_h_shift_x 359.0276
64 10 Gauge-SU3 su3Xsu3_h_shift_y 359.6928
64 10 Gauge-SU3 su3Xsu3_h_shift_z 360.3754
64 10 Gauge-SU3 su3Xsu3_h_shift_t 354.8255
64 10 Gauge-SU3 su3Xsu3_h_shift_xy 352.1428
64 10 Gauge-SU3 su3Xsu3_h_shift_xz 365.0961
64 10 Gauge-SU3 su3Xsu3_h_shift_xt 367.1128
64 10 Gauge-SU3 su3Xsu3_h_shift_yz 355.1098
64 10 Gauge-SU3 su3Xsu3_h_shift_yt 363.1778
64 10 Gauge-SU3 su3Xsu3_h_shift_zt 364.6262
64 10 Gauge-SU3 su3Xsu3_h_shift_xyz 376.2247
64 10 Gauge-SU3 su3Xsu3_h_shift_xyt 365.4745
64 10 Gauge-SU3 su3Xsu3_h_shift_xzt 385.6282
64 10 Gauge-SU3 su3Xsu3_h_shift_yzt 385.3702
64 10 Gauge-SU3 su3Xsu3_h_shift_xyzt 385.8866
64 12 4D-complex axpy 44.8043
64 12 4D-complex axpy_h_no_offset 44.0021
64 12 4D-complex axpy_h_offset_x 44.4145
64 12 4D-complex axpy_h_offset_y 45.3866
64 12 4D-complex axpy_h_offset_z 45.1396
64 12 4D-complex axpy_h_offset_t 44.7439
64 12 4D-complex axpy_h_offset_xy 45.3246
64 12 4D-complex axpy_h_offset_xz 44.8043
64 12 4D-complex axpy_h_offset_xt 44.4442
64 12 4D-complex axpy_h_offset_yz 44.8619
64 12 4D-complex axpy_h_offset_yt 44.7741
64 12 4D-complex axpy_h_offset_zt 45.2937
64 12 4D-complex axpy_h_offset_xyz 45.0171
64 12 4D-complex axpy_h_offset_xyt 45.2011
64 12 4D-complex axpy_h_offset_xzt 44.4740
64 12 4D-complex axpy_h_offset_yzt 45.6677
64 12 4D-complex axpy_h_offset_xyzt 45.4177
64 12 Gauge-SU3 su3Xsu3 445.3369
64 12 Gauge-SU3 su3Xsu3_h_no_shift 451.3959
64 12 Gauge-SU3 su3Xsu3_h_shift_x 437.8811
64 12 Gauge-SU3 su3Xsu3_h_shift_y 449.9223
64 12 Gauge-SU3 su3Xsu3_h_shift_z 445.3923
64 12 Gauge-SU3 su3Xsu3_h_shift_t 449.9223
